Mode=early_first_window | dataset=baseline_dataset.npz | training_dir=koopman_training | history_days=5 | attack_rate_as_percent=True
-------------------------------------------------------------------------------------------------------------------------------------
run=0144 seed=63 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0145 seed=63 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0146 seed=63 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0147 seed=63 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0148 seed=63 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0149 seed=63 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0150 seed=63 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0151 seed=63 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0152 seed=63 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0153 seed=63 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0154 seed=64 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0155 seed=64 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0156 seed=64 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0157 seed=64 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0158 seed=64 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0159 seed=64 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0160 seed=64 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0161 seed=64 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0162 seed=64 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0163 seed=64 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0164 seed=64 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0165 seed=65 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0166 seed=65 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0167 seed=65 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0168 seed=65 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0169 seed=65 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0170 seed=65 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0171 seed=65 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0172 seed=65 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0173 seed=65 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0174 seed=65 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0175 seed=65 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0176 seed=66 | attack_rate real=0.80 vs pred=2.54 | peak_day real=5.00 vs pred=17.00
run=0177 seed=66 | attack_rate real=0.80 vs pred=2.54 | peak_day real=5.00 vs pred=17.00
run=0178 seed=66 | attack_rate real=0.80 vs pred=2.54 | peak_day real=5.00 vs pred=17.00
run=0179 seed=66 | attack_rate real=0.80 vs pred=2.54 | peak_day real=5.00 vs pred=17.00
run=0180 seed=66 | attack_rate real=0.80 vs pred=2.54 | peak_day real=5.00 vs pred=17.00
run=0181 seed=66 | attack_rate real=0.80 vs pred=2.54 | peak_day real=5.00 vs pred=17.00
run=0182 seed=66 | attack_rate real=0.80 vs pred=2.54 | peak_day real=5.00 vs pred=17.00
run=0183 seed=66 | attack_rate real=0.80 vs pred=2.54 | peak_day real=5.00 vs pred=17.00
run=0184 seed=66 | attack_rate real=0.80 vs pred=2.54 | peak_day real=5.00 vs pred=17.00
run=0185 seed=66 | attack_rate real=0.80 vs pred=2.54 | peak_day real=5.00 vs pred=17.00
run=0186 seed=66 | attack_rate real=0.80 vs pred=2.54 | peak_day real=5.00 vs pred=17.00
run=0187 seed=67 | attack_rate real=72.80 vs pred=-9.23 | peak_day real=73.00 vs pred=26.00
run=0188 seed=67 | attack_rate real=72.80 vs pred=-9.23 | peak_day real=73.00 vs pred=26.00
run=0189 seed=67 | attack_rate real=72.80 vs pred=-9.23 | peak_day real=73.00 vs pred=26.00
run=0190 seed=67 | attack_rate real=73.00 vs pred=-9.23 | peak_day real=73.00 vs pred=26.00
run=0191 seed=67 | attack_rate real=73.00 vs pred=-9.23 | peak_day real=73.00 vs pred=26.00
run=0192 seed=67 | attack_rate real=73.00 vs pred=-9.23 | peak_day real=73.00 vs pred=26.00
run=0193 seed=67 | attack_rate real=73.00 vs pred=-9.23 | peak_day real=73.00 vs pred=26.00
run=0194 seed=67 | attack_rate real=73.00 vs pred=-9.23 | peak_day real=73.00 vs pred=26.00
run=0195 seed=67 | attack_rate real=73.00 vs pred=-9.23 | peak_day real=73.00 vs pred=26.00
run=0196 seed=67 | attack_rate real=73.00 vs pred=-9.23 | peak_day real=73.00 vs pred=26.00
run=0197 seed=67 | attack_rate real=73.00 vs pred=-9.23 | peak_day real=73.00 vs pred=26.00
run=0198 seed=68 | attack_rate real=81.40 vs pred=-0.23 | peak_day real=53.00 vs pred=25.00
run=0199 seed=68 | attack_rate real=81.40 vs pred=-0.23 | peak_day real=53.00 vs pred=25.00
run=0200 seed=68 | attack_rate real=81.40 vs pred=-0.23 | peak_day real=53.00 vs pred=25.00
run=0201 seed=68 | attack_rate real=81.40 vs pred=-0.23 | peak_day real=53.00 vs pred=25.00
run=0202 seed=68 | attack_rate real=81.40 vs pred=-0.23 | peak_day real=53.00 vs pred=25.00
run=0203 seed=68 | attack_rate real=81.40 vs pred=-0.23 | peak_day real=53.00 vs pred=25.00
run=0204 seed=68 | attack_rate real=81.40 vs pred=-0.23 | peak_day real=53.00 vs pred=25.00
run=0205 seed=68 | attack_rate real=81.40 vs pred=-0.23 | peak_day real=53.00 vs pred=25.00
run=0206 seed=68 | attack_rate real=82.40 vs pred=-0.23 | peak_day real=53.00 vs pred=25.00
run=0207 seed=68 | attack_rate real=82.40 vs pred=-0.23 | peak_day real=53.00 vs pred=25.00
run=0208 seed=68 | attack_rate real=82.40 vs pred=-0.23 | peak_day real=53.00 vs pred=25.00
run=0209 seed=69 | attack_rate real=0.60 vs pred=2.46 | peak_day real=5.00 vs pred=16.00
run=0210 seed=69 | attack_rate real=0.60 vs pred=2.46 | peak_day real=5.00 vs pred=16.00
